单词原文,是否已经统一,最终翻译,曾用翻译,选择最终翻译的原因和备注,在本书出现次数,是否为专业名词,是否为头脑风暴图或词云专业名词,出现在章节
String,,,,,490,,,第1章之前、第3章、第4章、第5章、第6章、第8章、第10章、第13章、第14章、第15章
MANAGED,,,,,482,,,第5章、第11章
Process,,,,,432,,,第1章之前、第1章、第2章、第3章、第4章、第5章、第6章、第7章、第10章、第11章、第12章、第14章、第15章
THREAD,,,,,421,,,第3章、第6章、第11章、第13章
Runtime,,,,,414,,,第1章之前、第1章、第2章、第3章、第4章、第5章、第6章、第7章、第8章、第9章、第10章、第11章、第12章、第13章、第14章、第15章
GaRbaGe,,,,,407,,,第8章
Performance,,,,,405,,,第1章之前、第2章、第3章、第4章、第5章、第6章、第7章、第8章、第9章、第10章、第12章、第14章、第15章
CollectIon,,,,,402,,,
Application,,,,,401,,,第1章之前、第1章、第3章、第4章、第5章、第6章、第11章、第12章、第15章
Static,,,,,397,,,第1章之前、第1章、第2章、第3章、第4章、第6章、第7章、第8章、第11章、第12章、第13章、第15章
Class,,,,,393,,,第1章之前、第3章、第4章、第5章、第6章、第8章、第9章、第12章、第13章、第14章、第15章
List,,,,,391,,,第1章之前、第1章、第2章、第3章、第4章、第5章、第6章、第7章、第8章、第9章、第10章、第11章、第12章、第13章、第14章、第15章
Usage,,,,,377,,,第1章之前、第1章、第3章、第4章、第5章、第6章、第7章、第12章、第13章、第14章、第15章
address,,,,,367,,,第1章、第2章、第3章、第4章、第5章、第6章、第7章、第8章、第9章、第10章、第12章、第13章、第14章、第15章
Return,,,,,357,,,第1章之前、第1章、第2章、第6章、第8章、第12章、第13章、第14章、第15章
Ref,,,,,345,,,第1章之前、第1章、第3章、第4章、第5章、第6章、第7章、第8章、第9章、第10章、第11章、第12章、第13章、第14章、第15章
called,,,,,340,,,第1章之前、第1章、第2章、第3章、第4章、第5章、第6章、第7章、第8章、第9章、第10章、第11章、第12章、第13章、第14章、第15章
Pointer,,,,,324,,,第1章之前、第1章、第4章、第6章、第8章、第12章、第13章、第14章、第15章
LoH,,,,,311,,,第8章
Free,,,,,304,,,第1章之前、第1章、第2章、第3章、第4章、第5章、第6章、第9章、第10章、第12章、第13章、第14章、第15章
cache,,,,,289,,,第1章、第2章、第3章、第4章、第5章、第6章、第7章、第8章、第9章、第11章、第12章、第13章、第14章、第15章
Field,,,,,286,,,第1章之前、第3章、第4章、第5章、第8章、第13章、第14章、第15章
Call,,,,,279,,,第1章之前、第1章、第3章、第4章、第5章、第6章、第7章、第8章、第9章、第10章、第11章、第12章、第13章、第15章
Local,,,,,279,,,第1章之前、第1章、第2章、第4章、第6章、第8章、第13章、第15章
Management,,,,,274,,,第1章之前、第1章、第2章、第3章、第4章、第5章、第6章、第7章、第8章、第9章、第10章、第11章、第12章、第13章、第14章、第15章
PINNED,,,,,272,,,第8章
BYTE,,,,,270,,,第4章、第5章
Clr,,,,,256,,,第1章之前、第3章、第4章、第5章、第6章、第7章、第9章、第10章、第11章、第13章、第15章
span,,,,,254,,,第4章、第5章、第6章、第7章、第8章、第9章、第10章、第14章、第15章
Cpu,,,,,246,,,第2章、第3章、第4章
void,,,,,243,,,第1章之前、第1章、第2章、第3章、第4章、第5章、第6章、第7章、第8章、第9章、第10章、第11章、第12章、第13章、第14章、第15章
Long,,,,,241,,,第5章、第8章、第11章、第13章、第14章、第15章
CORECLR,,,,,228,,,第11章
simple,,,,,227,,,第1章之前、第1章、第2章、第3章、第4章、第5章、第6章、第7章、第8章、第9章、第10章、第11章、第12章、第13章、第14章、第15章
Internal,,,,,224,,,第1章之前、第4章、第5章、第7章、第8章、第9章、第12章、第13章、第14章、第15章
Finalization,,,,,224,,,第1章之前、第3章、第8章、第12章、第13章、第15章
Allocations,,,,,221,,,第1章之前、第3章、第4章、第5章、第6章、第7章、第15章
allocated,,,,,218,,,第1章、第2章、第3章、第4章、第5章、第6章、第7章、第8章、第9章、第10章、第11章、第12章、第13章、第14章、第15章
etw,,,,,215,,,第1章之前、第1章、第2章、第3章、第4章、第5章、第6章、第7章、第8章、第9章、第10章、第11章、第12章、第13章、第14章、第15章
threads,,,,,213,,,第1章、第2章、第3章、第4章、第6章、第7章、第8章、第9章、第10章、第11章、第12章、第13章、第14章、第15章
Context,,,,,213,,,第4章、第5章、第6章、第13章、第15章
Overhead,,,,,208,,,第1章之前、第3章、第11章、第12章、第14章
LOW,,,,,198,,,第1章、第4章、第8章、第11章
Handle,,,,,187,,,第1章之前、第3章、第4章、第5章、第7章、第8章、第9章、第11章、第12章、第13章、第14章、第15章
Fragmentation,,,,,186,,,第1章之前、第1章、第2章、第5章、第7章、第9章、第10章、第15章
Virtual,,,,,180,,,第1章之前、第1章、第2章、第3章、第4章、第5章、第6章、第15章
Generations,,,,,179,,,第1章之前、第3章、第5章、第7章、第9章、第12章
Segments,,,,,169,,,第1章之前、第5章、第10章、第11章、第15章
State,,,,,167,,,第1章、第3章、第6章、第12章
General,,,,,166,,,第1章之前、第2章、第3章、第4章、第6章、第10章、第11章、第12章、第14章
Layout,,,,,160,,,第1章之前、第2章、第6章、第8章、第9章、第13章、第14章、第15章
point,,,,,157,,,第1章之前、第1章、第2章、第3章、第4章、第5章、第6章、第7章、第8章、第9章、第10章、第11章、第12章、第13章、第14章、第15章
Compiler,,,,,155,,,第2章、第6章、第12章、第13章、第14章、第15章
SERVER,,,,,152,,,第11章
mechanism,,,,,151,,,第1章之前、第1章、第2章、第3章、第4章、第5章、第6章、第7章、第8章、第10章、第11章、第12章、第13章、第14章、第15章
Collector,,,,,150,,,第1章之前、第1章、第2章、第3章、第4章、第5章、第6章、第7章、第8章、第9章、第10章、第11章、第12章、第13章、第15章
ROOT,,,,,150,,,第8章
Variable,,,,,148,,,第1章之前、第1章、第6章、第8章、第13章
C#,,,,,148,,,第1章之前、第1章、第2章、第4章、第5章、第6章、第7章、第8章、第12章、第13章、第14章、第15章
Topics,,,,,143,,,第1章之前、第13章
Arrays,,,,,138,,,第4章、第5章、第6章、第10章、第14章
Calls,,,,,137,,,第1章之前、第7章、第15章
VERSION,,,,,133,,,第11章、第15章
